,job_tags
9257,[]
9330,[]
6690,[]
4763,['Project Management' 'Scrum' 'PMP']
1032,['illustrator' 'Figma' 'photoshop']
9764,['系統架構規劃' '資料庫系統' 'jquery']
2155,[]
3061,['後端工程師' 'backend' 'rails']
6726,[]
7760,[]
3224,['C++' 'Linux']
7953,['JLPT N1' '客戶情報蒐集' '業績目標分配與績效達成']
3054,[]
7598,['Excel' 'PowerPoint' 'Word']
6232,['Xmind' 'Excel' 'Git']
7024,['Line ads' 'Google Ads' 'Google Analytics']
7803,['excel']
1701,[]
5569,['IT support' 'IT Infrastructure' 'Security']
9413,[]
4312,['word' 'photoshop' 'illustrator']
4554,['Koa.js' 'Python' 'Node.js']
6862,['word' 'photoshop' 'excel']
11333,['Google Drive' 'Microsoft Office' 'Excel']
1142,['UXUI designer' 'Product Designer' '設計師']
11081,[]
3778,['Electronics Industry']
3805,['Visual C#' 'VB.NET' 'Oracle DB']
10383,['軟體工程師']
8271,[]
1760,[]
7659,['活動企劃' 'CakeResume 2023 Career Fair']
4195,[]
7804,['excel' 'google drive' 'photoshop']
6703,['機構工程師' 'autocad' 'SolidWorks']
9203,[]
2984,['Algorithm' 'Architecture' 'cloud computing']
524,['bigdata' 'Salesforce' 'Sales Management']
1040,[]
10527,[]
1165,['Excel']
5378,['Git' 'Python' 'JavaScript']
6050,['SQL' 'SAS' 'SPSS']
9037,[]
3792,['C' 'C++' '有HDMI/DP/USB-C相關經驗者佳']
10577,['室內設計' '視覺設計' 'Sketch up']
7987,[]
6248,['Project Management']
2177,['C#' 'Unity']
7334,['Microsoft Office' 'Communication']
9999,[]
2018,['excel' 'powerpoint' 'word']
213,['word' 'excel' 'photoshop']
5763,[]
10777,[]
165,['Spreadsheet' 'Data Analysis' 'Google Surveys']
7222,['Microsoft Office']
843,['illustrator' 'photoshop' 'excel']
4605,['Project Management' 'Project Planning' 'Project Coordination']
9526,['wireframe' 'UI flow' 'PM']
188,[]
9014,['Vue.js' 'vue.js' 'Git']
7786,"['Google Ads、Google Analytics佳'
 '熟稔Office 相關軟體，精通 Excel（樞紐、基礎函數）尤佳、PPT 簡報製作、Google Data Studio']"
6565,[]
2912,['Linux' 'Github' 'MySQL']
9944,['excel' 'google drive' 'Google Analytics']
5674,['江子翠捷運站' '新北市板橋區' '大同區']
3697,['FPGA' 'RTL' 'Verilog']
4343,[]
9534,['HR' '台灣新北市中和區' '人資']
525,[]
2423,['Android Engineer' 'Android']
1113,['UI']
6721,['+助理技術員' '+作業員']
5216,['台灣台北' 'golang工程師' 'Back-End']
7014,[]
10603,['台北' 'startup' 'engineer']
3166,['C#' 'Winform' '.net']
2497,[]
2054,[]
3901,['API串接' 'RESTfulAPI' 'CSS3']
4925,[]
8046,['word' 'excel' 'powerpoint']
1903,[]
10982,['linux' 'jira' 'testrail']
384,[]
5673,['flutter' 'Flutter App Developement' 'Flutter Developer']
5962,[]
1768,['erp鼎新']
960,[]
11389,[]
8986,['Dart' 'Flutter' 'React']
5933,['業績目標達成' '顧客關係管理' '提案與簡報技巧']
6568,['word' 'powerpoint' 'excel']
1693,['品保' '組裝' '測試']
11014,[]
7676,['Translation' 'KOREAN LANGUAGE']
9762,['運維開發' 'ci/cd' 'SRE']
5442,['333台灣桃園市龜山區' 'Open Source' 'Server Architecture']
11176,['Excel' 'Word' 'PowerPoint']
5083,['word' 'excel' 'powerpoint']
5902,['CakeResume 2023 Career Fair']
264,['word' 'excel' 'powerpoint']
11252,['PHP' 'Laravel' 'PHP Laravel Framework']
5000,[]
6849,[]
5963,['google drive' 'excel' 'powerpoint']
186,['Google Drive' 'Communication']
7320,['word' 'google drive' 'excel']
993,['Electronics Industry']
4937,['台北市中正區忠孝西路一段66號26樓' 'Python' 'CDN']
10389,['Dart(Flutter)' 'Android' 'iOS']
4895,['SQA' 'Testing' 'Electronics Industry']
6298,[]
9403,[]
114,[]
581,['機器視覺' 'AOI檢測系統']
7588,['Adobe Illustrator' 'Premiere' 'Adobe Premiere']
1445,['Electronics Industry']
3715,['FPGA' 'RTL']
6885,['microsoft office' 'google drive' 'powerpoint']
3594,[]
382,[]
4740,['Presales']
5115,[]
7127,[]
6383,['Fintech' 'FinTech' 'PM']
7820,['ecommerce' '電商平台' '業務']
8362,['word' 'Microsoft Office' 'Excel']
7290,[]
7106,[]
7992,[]
9061,['Front-end' 'PostgreSQL' 'JavaScript']
1707,['power engineer' 'DC/DC']
10376,[]
4150,['Lean' 'Agile' 'Scrum']
282,['客戶服務' '客戶關係維護管理' '客戶服務經驗']
2281,[]
6774,[]
5927,['Sales' 'Business Development' 'Sharing Economy']
1752,['EE' 'embedded system' 'Manufacturing Experience']
2459,['Android Development' 'JAVA' 'sdk/library']
6497,[]
6737,[]
1684,[]
5467,[]
6208,['Video' 'creative agency' 'Operations Manager 營運經理']
5599,[]
227,['補習班' '行銷相關' '訂單處理']
6012,[]
9426,['+word' '+excel']
225,[]
7303,['word' 'excel' 'powerpoint']
8984,[]
5900,['Presentation and Communication Skills' 'English' 'Business Development']
1271,['TOPIK5' 'Education' 'Communication']
7383,[]
807,[]
8812,[]
10653,[]
1166,[]
11071,['DQA' 'Design Quality Assurance']
2034,[]
6763,['Word' 'PowerPoint' 'Excel']
5786,['Excel' 'Powerpoint' 'Word']
1091,['Adobe XD' 'Figma' 'Electronics Industry']
9373,['Microsoft Office' 'Google Drive' 'Communication']
8877,['JavaScript' 'Angular' 'React']
9981,[]
1123,[]
5828,['Word' 'Excel']
2888,['Amazon EC2' 'Amazon S3' 'PostgreSQL']
923,[]
7844,[]
6498,[]
7934,['Communication Skills' 'Sales Promotion' 'Business Development']
5857,[]
3917,['台灣台北' '115台灣台北市南港區' 'AJAX']
8989,['#ReactJS']
8055,[]
3118,[]
5157,['FinTech' 'Backend' 'Python']
7346,['Excel' 'PowerPoint']
1825,[]
6923,['Microsoft Office']
5748,['Word' 'Excel']
9813,[]
4261,[]
3076,['PHP' 'GCP']
7977,[]
9826,[]
9415,[]
6283,[]
7095,['PowerPoint' 'Excel' 'Microsoft Office']
9106,[]
10143,['C' 'C++' 'Electronics Industry']
3963,['frontend engineer' 'Front-end' 'React.js']
3603,['SRE' 'DevOps' 'AWS']
9016,['Vue.js' 'HTML' 'CSS']
9532,[]
578,[]
7984,['JLPT N2']
6931,[]
8393,['word' 'excel' 'microsoft office']
6920,['社群經營' '社群企劃' '品牌經營']
1039,['illustrator' 'Adobe XD' 'Sketch']
7464,['powerpoint' 'Google Analytics' 'Google AdWords']
5386,['C' 'ARM']
1924,[]
57,['特考驗光生' '特考驗光師' '高(普)考驗光生']
8633,['產品維修' '電子設備和線路接線' '產品售後技術服務']
4530,['.NET Core' 'C#' '.NET MVC']
9056,['台北' '台灣' 'jQuery']
8224,['Presales' 'presale support' 'Product Management']
3503,['台北']
1284,[]
5817,['Word' 'Excel' 'PowerPoint']
2298,[]
9242,[]
8112,['銷售']
912,[]
2012,[]
6016,[]
1451,[]
1321,['電控' 'PLC' '電腦繪圖']
4521,['C#' 'C#.NET development' 'MVC5']
10756,['人力資源' '人資管理' 'Training & Development']
11183,[]
11131,['Word' 'PowerPoint' 'Excel']
9945,[]
5789,[]
5700,[]
10281,['Excel']
512,['銷售 / 客服相關' '銷售' '零售']
6210,['word' 'excel' 'powerpoint']
8994,['Angular' 'JavaScript' 'AngularJS']
1704,['Excel' 'Word' 'Outlook']
8314,['專案規劃執行╱範圍管理' '危機與議題管理' '協商談判能力']
5232,['CakeResume 2023 Career Fair']
7769,['內湖科技園區' '台北']
6170,[]
3196,['PHP' 'AngularJS' 'Laravel']
1065,['SaaS' 'Figma' 'wireframe']
117,[]
5223,['AWS' 'Docker' 'Git']
6616,['Word' 'PowerPoint' 'Excel']
1358,[]
10116,['PHP' 'Laravel']
10285,['Word' 'PowerPoint' 'Excel']
2575,['CakeResume 2023 Career Fair' 'GCP' 'Git']
5109,['ISO 27001' 'NIST' 'CIS']
1359,[]
1176,['Photoshop' 'Word' 'PowerPoint']
2163,[]
8848,[]
9786,[]
3331,['Data Engineering' 'ETL Workflow Design' 'ETL/ELT']
6162,['Google Drive' 'Microsoft Office']
4158,['114台灣台北市內湖區' 'MVVM' 'Swift']
8072,[]
6682,[]
8417,[]
6261,['Project Management' 'photo shooting' 'video shooting']
393,[]
6415,[]
11463,[]
9230,[]
11078,['Google Drive' 'Communication']
3533,['E-commerce' 'Leadership' 'Backend']
3877,['CSS' 'jQuery' 'JavaScript']
5497,[]
9533,['Human Resource Management' 'Human Resources' 'Word']
3163,[]
3996,['Frontend' 'Backend' 'FullStack']
10868,['MRT Nanjing Fuxing Station' '南京復興站' 'Taipei City']
5689,[]
8524,['powerpoint' 'word' 'excel']
9595,['行銷企劃' 'CakeResume 2023 Career Fair']
712,['photoshop' 'illustrator' 'InDesign']
10002,['實體活動規劃與執行' '品牌知名度推廣']
773,[]
834,['photoshop' 'illustrator']
330,[]
10828,['Customer Success' 'Customer Service' '客戶服務']
1708,[]
2396,[]
4697,['powerpoint' 'excel' 'word']
9320,['illustrator' 'photoshop' 'After Effects']
7846,['Sales & Customer Service' 'Negotiation skills' 'Communication']
9914,[]
1466,[]
3491,[]
3149,['Linux' 'Github' 'Java']
8583,['Enscape' 'Vray' 'SketchUp']
4351,['layout' '工程師' '電子工程師']
8231,['Sales' 'Sales Management']
7887,['Customer Success' 'Customer Service' 'Consultant']
804,[]
2303,[]
10031,[]
7162,['行銷策略規劃' 'Marketing' 'PM']
6330,['台灣新北市新店區' 'VR/AR' 'App Store']
3666,['CI/CD' 'Container' 'Kubernetes']
8606,[]
1532,['DC/DC' 'Automotive' 'Battery Management Systems']
9551,['CakeResume 2023 Career Fair']
1879,[]
6495,[]
1625,['Python' 'Shell Script' 'Jenkins']
1554,[]
8880,['HTML' 'JavaScript' 'CSS']
6946,['內容行銷' '品牌規劃' '電子報']
4801,['PowerPoint' 'Word']
9992,['app' 'Flutter' 'iOS']
595,['客戶服務' '旅遊']
10651,['Catia' 'Solidworks' 'SolidWorks']
2001,[]
3513,['MSSQL' 'T-SQL' 'Store Procedure']
1963,['Quantitative Trading' 'pytorch' 'statsmodels']
7619,['lightroom' 'photoshop' 'Premiere Pro CC']
4794,[]
6880,['powerpoint' 'illustrator' 'microsoft office']
1430,[]
45,[]
8683,['AWS' 'Cloud Services' 'EKS']
8738,[]
5560,['SRE' 'CCNA' 'RHCE']
9985,['Power BI' 'Tableau' 'Microsoft Office']
5855,[]
1447,[]
5735,[]
6358,['photoshop' 'powerpoint' 'excel']
2960,['backend' 'Golang']
10644,['通訊' 'EMC/EMI' 'RF']
4200,[]
4523,[]
242,['服務' '賣場' '補貨']
1847,[]
3087,['C++' 'Java' 'Python']
4649,['ClickUp' 'Trello' 'wireframe']
786,['Illustrator' 'Photoshop']
814,['photoshop' 'illustrator' '台北']
10808,['After Effect' 'Premiere' 'Final Cut ProX']
5500,['#電子交易系統\n#系統分析師']
2473,[]
7650,[]
9457,['Marketing Strategy' 'JLPT N2 (日語)']
6103,['CakeResume 2023 Career Fair']
1905,[]
6927,['CakeResume 2023 Career Fair']
7046,['microsoft office' '行銷規劃' '業務推廣']
754,['Branding' 'Graphic Design' 'Photoshop']
2614,[]
9182,['javascript']
127,['Word' 'Excel' 'Communication']
4835,['CakeResume 2023 Career Fair']
429,[]
4767,['Product Management' '專案管理' 'Product Manager']
7525,[]
4127,['Mobile' 'mobile app' 'Node.js']
5023,[]
7198,['excel' 'powerpoint' 'Google Analytics']
4185,['Swift/iOS']
2524,['Gaming' 'Software' 'React Native']
7750,[]
109,['AutoCAD' 'Excel' 'Word']
7412,['CakeResume 2023 Career Fair' 'Illustrator' 'Photoshop']
6522,[]
4877,[]
11273,['Excel' 'Word' 'PowerPoint']
1355,[]
1848,['Payment' 'process flows' 'FinTech']
10633,['power engineer' '5G基地台' '不斷電系統']
9898,['java' 'Golang' 'python']
6155,[]
8881,['Blockchain' 'JavaScript' 'React']
9252,['word' 'powerpoint' 'excel']
4837,['台北']
11299,[]
9080,[]
2019,['excel' 'powerpoint' 'word']
8931,['unity' 'layaair' 'Cocos Creator']
6364,['Word' 'PowerPoint' 'Excel']
10810,['Word' 'PowerPoint' 'Excel']
8592,[]
4617,['Product Manager' 'Product Management']
8481,['台灣桃園市中壢區']
4831,['Python' 'POSTMAN' '自動化測試']
7979,['CakeResume 2023 Career Fair' '業務' '媒體']
5995,['Microsoft Office' 'Communication']
9202,['Microsoft Office' 'Independent' 'Problem Solving']
4350,[]
2225,[]
5988,[]
1350,['+PLC']
4812,[]
8389,[]
6185,['地方管理者' '書店' '地方工作']
3610,['AWS' 'CI/CD' 'Kubernetes']
2596,['台北市' '台北車站' 'Billing System']
5188,['AWS' 'EKS' 'CI/CD']
2893,['C#' 'Visual C#' 'Visual Studio']
8447,[]
4023,['#軟體\n#全端\n#前端開發\n#後端開發\n#.NET']
9448,['Photoshop' 'Google Drive' 'powerpoint']
1645,['QA Engineer' 'Networking']
10228,['Linux、NodeJS、Python、MySQL、NoSQL' 'Linux' 'NoSQL']
6687,[]
1786,[]
4998,['Python' 'QA Engineer' 'AWS']
9342,['街頭募款NGO' 'Direct Dialogue' '慈善大使']
134,['顧客關係管理師' '客服及問題處理' '顧客關係經營']
11035,['儲備幹部職缺專區']
3937,['HTML5' 'CSS3' 'JavaScript']
1323,[]
10576,[]
1130,[]
11024,['Business Development' '商務開發' '異業合作']
692,['photoshop' 'illustrator' 'word']
7437,['行銷企劃' 'CakeResume 2023 Career Fair']
11244,['10491台灣台北市中山區' 'AWS' 'RESTfulAPI']
3506,['資訊設備環境設定' '系統維護操作' '系統整合分析']
4239,['Linux' 'Android' 'C']
139,['客戶服務' '電話客服']
477,[]
21,[]
5430,['C#' 'HTML' 'MS SQL']
7489,[]
9133,[]
3408,['word' 'excel' 'powerpoint']
2582,['Python' 'C++' 'Rust']
2172,[]
879,['Adobe Photoshop' 'VRED' 'Keyshot']
2332,['Word' 'PowerPoint' 'Excel']
4254,['HTML' 'JavaScript' 'CSS']
10057,['powerpoint' 'photoshop' 'google drive']
2553,[]
567,['Word' 'Excel']
10707,['VueJS' 'Frontend Web Development']
4797,['Cisco' '網路' '產品管理']
10335,['總務' '總務行政']
2605,['Git' 'ASP' 'ASP.NET']
11064,['DevOps' 'Linux Shell Script' 'Terraform']
9498,[]
10843,['Content Writing' 'Social Media' 'Digital Marketing']
9881,['專案管理']
1948,[]
9276,[]
2331,['台灣台北' 'HR' 'Interview']
3570,['Github' 'pchome' 'Data Studio']
4850,[]
5840,['松山區' '台北' 'excel']
1791,[]
5067,[]
11296,['CTO' 'frontend' 'fullstack']
3620,[]
6054,['CakeResume 2023 Career Fair']
8923,['前端工程師' '前端開發工程師' '前端網頁設計']
10728,[]
10788,['Creative Thinking' 'Strategic Planning' 'Marketing Strategy']
2292,[]
9440,[]
2119,['遊戲' '營運' '手機遊戲']
971,['HTML/CSS' 'wireframe' 'Google Analytics']
663,['+Adobe Photoshop' '+Unity3D' '+After Effects']
10362,[]
2920,['Backend Development' 'Golang' 'Java']
9834,['Word' 'Excel' 'PowerPoint']
7593,[]
1736,[]
1266,['Microsoft Office']
6831,['PowerPoint' 'Word' 'Excel']
8532,['excel' 'photoshop']
10184,['Channel Sales Management' 'Business Development Management']
5929,['Blockchain' 'Web3.0' 'C2C']
707,[]
5605,['PHP' 'Docker' 'AWS']
7057,[]
8352,['專案規劃執行╱範圍管理' '危機與議題管理' '協商談判能力']
11415,['Google Analytics' 'Meta Ads' 'Google Drive']
9574,[]
2307,['Word' 'PowerPoint' 'Excel']
10659,[]
10062,[]
7382,['Marketing' 'Operations Management' 'Brand Marketing']
2789,['ECommerce' 'PHP']
9184,['javascript' 'Angular']
7332,[]
2033,[]
6451,['Microsoft Office' 'excel']
9443,['Google Analytics' 'word' 'powerpoint']
10658,[]
4111,['SQL' 'C#']
7377,['CakeResume 2023 Career Fair']
6064,['CakeResume 2023 Career Fair' '數據分析與策略整合' '商業分析']
2986,[]
4072,['Full Stack Software Engineer']
6055,[]
1971,[]
10568,[]
2046,[]
4737,['專案管理' 'Project Manager' 'Business Analyst']
5821,['PowerPoint' 'Microsoft Office']
2699,['TypeScript /JavaScript' 'Node.js' 'Express.js']
10768,[]
7021,['Google Drive' 'word' 'PowerPoint']
6889,[]
4031,[]
2355,['excel' 'powerpoint']
4818,[]
9847,['powerpoint' 'word' 'excel']
5659,[]
2487,[]
7244,['C' 'C#' 'C++']
7205,[]
4534,['VPN security' '.NET' 'Oracle ERP']
10252,[]
8814,[]
6708,[]
8326,['excel' 'powerpoint']
2336,[]
10730,['台灣' '中山區' '台北']
628,[]
4084,[]
6952,['內容行銷' '社群行銷' '文案']
9483,['powerpoint' 'excel']
6219,['word' 'excel' 'powerpoint']
9339,[]
7441,[]
8398,['word' 'excel' 'powerpoint']
4675,['Sketch' 'Figma' 'Trello']
3608,['DevOps' 'Linux' 'GCP']
560,['word' 'excel' 'powerpoint']
375,[]
2792,['110台灣台北市信義區' 'AWS' 'Node.js']
3226,['Java' '台中' 'golang']
8120,['word' 'google drive' 'excel']
1933,['word' 'powerpoint' 'illustrator']
7254,[]
3847,[]
1712,['OrCAD' 'Allegro' 'AIO']
11460,['系統整合測試' '自動化測試' '測試計劃及測試報告書撰寫']
7917,['Retail Technology' 'Unmanned Retail' '無人零售']
5195,['日本大阪' 'Java' 'Spring']
3599,['Taipei' 'Taiwan' 'proactive']
10224,['工程協調與問題處理' '工程專案規劃與執行' '工程管理']
9121,['專案管理' 'google drive' 'Sass']
11536,['資料庫管理' 'GCP' 'Python']
10642,[]
8981,['遠端工作' 'vue.js' 'Vue']
9548,[]
4475,[]
6320,['專案管理' '產品管理師' 'ERP專案師']
8425,['ECommerce' 'sales' '電商']
10600,['台中' 'Python' 'Java']
1069,['Adobe Photoshop' 'Illustrator' 'Cocos Creator']
315,['word' 'excel' 'powerpoint']
3422,['機器學習' '數據科學' '數據視覺化']
2583,['台灣' '台北' '信義區']
2245,[]
11512,['C/C++' 'C#' 'MVVM']
6101,['CakeResume 2023 Career Fair']
7391,['Growth Marketing' 'SEO / 數位行銷企劃與創意發想']
6717,[]
8422,['電話客服' '個性熱心' '客服產業']
4222,['Java' 'Objective-C' 'Swift']
11172,[]
3562,['DevOps' 'SRE']
2968,['Golang' 'CDN' 'Stream']
6475,['excel' 'powerpoint' 'word']
3694,['DV' 'UVM' 'OVM']
1371,['Excel' 'Word' 'powerpoint']
6756,['CakeResume 2023 Career Fair' '專案管理' '顧問']
6260,['Project Management' 'Education' 'Operations Management']
5740,['microsoft office' 'google drive']
3815,[]
6706,[]
9020,['HTML' 'JavaScript' 'CSS']
8851,[]
1461,[]
5284,['ETL' 'SSAS' 'SQL']
1407,['電子工程師' 'Electronics Industry']
7394,['廣告' '行銷' '企劃']
9395,[]
3148,['C++' 'Java' 'Angular']
859,['視覺設計' '平面設計' 'UI/UXDesign']
6211,[]
2814,[]
1844,[]
4590,['PHP' 'MySQL' 'Laravel']
1713,[]
6552,['interpersonal skill' 'sales' 'operation']
101,[]
5368,[]
6528,['word' 'google drive' 'excel']
2564,['ASP.NET' 'C#' 'MS SQL']
9630,[]
11109,['台北' '南港車站']
9563,[]
1559,[]
9299,['word' 'powerpoint' 'excel']
4326,['powerpoint']
4522,['.NET Core' 'Backend Development' 'Team Management']
2727,[]
9583,[]
933,['illustrator' 'photoshop']
6768,['Microsoft Office' 'Communication']
6141,[]
9399,['Word' 'PowerPoint' 'Excel']
2455,['Android' 'Android Development' 'android app']
7016,['數位行銷策略' '數據分析應用' '品牌行銷']
4892,[]
7744,['Teamwork' 'Project Management' 'Problem Solving']
1189,[]
1766,['kklife' '紅龍' '會計']
8232,[]
7918,['客戶需求溝通' '客戶關係維護管理' '專案進度控管']
9181,['Cocos Creator' 'javascript' 'HTML5']
3642,[]
4897,['台北矽谷' '新店區' '新北']
11376,['CAD' 'CAE' 'Ansys']
9973,['word' 'excel' 'powerpoint']
11116,[]
1312,[]
6399,['word' 'powerpoint' 'excel']
6608,['專案管理架構及專案說明' '專案溝通╱整合管理' '專案成本╱品質╱風險管理']
9832,['+python' '+C++']
7380,['CakeResume 2023 Career Fair']
10357,['遊戲UI' 'UI Design' '2d']
2387,[]
8938,['Taiwan' 'Taipei City' '台北市中山區']
1314,[]
8415,[]
4024,['+Git' '+PHP' '+python']
11424,[]
7665,['大甲溪' '社區大學' '社區學習']
7446,['Word' 'PowerPoint' 'Microsoft Office']
9377,['After Effects' 'Premiere']
4910,[]
1976,[]
4309,['#android' '#flask' '#MySQL']
3920,['#vue' 'Vue.js' 'vue.js']
770,['photoshop' 'illustrator']
2053,[]
6563,[]
10821,[]
5486,['雲端服務' 'AWS' 'GCP']
7220,[]
7637,[]
4192,['IOS Development' 'IOS 開發相關' 'iOS']
5135,['Penetration Testing' 'Red Team' 'Security']
5565,['AWS' 'GCP' 'TCP/IP']
6671,[]
10486,[]
4143,['110台灣台北市信義區' 'FinTech' 'Scrum']
9289,[]
6938,['Asana' 'Mac OS' 'Content Marketing']
6989,[]
7193,['Photoshop' 'Excel' 'PowerPoint']
3296,['RISCV' 'OOP' 'C++Python']
10308,['行政事務處理' '廠商問題處理' '採購並維護辦公事物及庶務用品']
1595,[]
1393,['Electronics Industry']
5354,[]
6424,['Account Manager' 'Technical Account Engineer' 'MCSE']
9354,[]
5525,['ASP.NET' 'C#' 'Java']
3795,[]
6270,['醫療' '專案執行' '專案企劃']
1860,[]
6724,[]
5881,['word' 'excel' 'google drive']
7372,[]
2925,['Golang' 'AWS' 'Blockchain']
6067,['C' 'C#' 'C++']
3361,['信義區' 'Game Design' 'Game Development']
5893,['retail' 'MA' '儲備幹部']
10973,['南港軟體園區' 'Test Design' 'Test Automation']
6066,['SQL' 'Python' 'BI']
8697,[]
5394,['Electronics Industry']
2330,[]
7876,['Excel' 'Outlook' 'PowerPoint']
2821,['Java' '永續合約']
1334,['Python' 'hadoop']
1577,['AutoCAD' 'solidworks electrical' 'plc']
3977,['CakeResume 2023 Career Fair']
7684,['Lightroom' 'Photoshop' '商品攝影']
3823,['HTML/CSS' 'JavaScript' 'Photoshop']
6858,['Microsoft Office' 'Google Drive']
6157,['word' 'excel']
3117,[]
5401,['MacOS' 'Objective-C' 'Windows']
6412,[]
7297,[]
10842,['Social Media Management' 'Digital Marketing' 'Social Media Marketing']
10774,[]
10207,['MySQL' 'Golang Backend' 'golang']
10414,['財務報表分析' '財務管理' '財務報表製作']
10588,[]
10393,['資訊系統開發規劃管理' '系統架構規劃與維護' '資安工程師']
591,[]
11472,['CEH' 'ISO27001']
10375,['IOS App Development' 'iOS Swift']
9040,['React.js' 'ReactNative' 'React Native']
4176,[]
816,['illustrator' 'photoshop' 'SketchUp']
2494,['IOS Development' 'Android Development']
3402,[]
5517,['Networking' 'Web' 'coding']
8803,[]
10270,[]
8118,[]
830,['photoshop' 'illustrator' 'Design']
7203,['CakeResume 2023 Career Fair']
8687,['AI & Machine Learning' 'Software Development' 'Node.js']
11387,['C#.NET' 'C# MVC' 'ASP.NET']
10863,[]
2546,[]
9823,['Linux' 'GCP' 'AWS']
8917,[]
7600,['journalism' 'international news' 'interpreter']
551,[]
11552,[]
8713,[]
3339,[]
10987,[]
1705,['Lumped parameter' 'COMSOL' 'DSP']
5992,['Word' 'PowerPoint' 'Excel']
8570,['台北市' 'Figma' 'Scrum']
5221,['Frontend Development' 'typescript' 'Vue.js']
1547,[]
10613,['crypto' 'cryptocurrency' 'blockchain']
6573,[]
9281,[]
10825,[]
3071,['Python' 'Django' 'Spark']
418,[]
8128,['台灣台北' 'word' 'excel']
1814,['word' 'excel']
11114,['JAVA' 'Oracle' 'SQL']
2106,['javascript' 'cocos creator']
31,[]
544,[]
6151,['word' 'powerpoint' 'photoshop']
4033,['B2B平台' 'ECommerce' 'MySQL']
4207,['iOS' 'Objective-C' 'Swift']
7859,[]
1819,['powerpoint' 'google drive' 'excel']
8936,['商業大樓' '台北' '前端工程師']
4199,[]
3094,[]
2180,[]
3997,['Postgres' 'AWS' 'Express.js']
1771,[]
5834,['Microsoft Office']
2099,['3ds Max' 'After Effects' 'Unity3D']
4157,['407台灣台中市西屯區' 'iOS SDK' 'Ojective C']
11342,['UI/UXDesign' 'Product Design' 'Figma']
1644,[]
5420,[]
761,['Adobe Illustrator' 'Photoshop']
10399,[]
6223,[]
6659,['word' 'excel' 'powerpoint']
554,['word' 'excel' 'powerpoint']
2965,[]
5003,[]
5108,['內湖科技園區' 'Linux' 'MySQL']
271,[]
215,[]
4011,['Full Stack' 'CakeResume 2023 Career Fair']
4611,['專案進度控管' '產品需求' '產品文檔建立']
2580,['MySQL' 'Golang Backend' 'golang']
8449,['Communication']
1524,['Electronics Industry']
856,['Design' 'Photoshop' 'Illustrator']
5712,['Legal Administration' 'Legal Research']
9701,['VMware' 'CCNA']
7192,['Digital Marketing' '整合行銷' '廣告投放']
7216,['Digital Marketing' 'Marketing']
8167,['業務開發' '業務' '業務行政、專案執行、溝通協調']
1147,['photoshop' 'illustrator' 'Sketch']
6117,['中南美洲' '西語業助' '西文業助']
854,['photoshop' 'illustrator']
348,[]
9986,[]
1405,[]
916,[]
2478,['#android' '#C#' '#C++']
2003,['保健食品研發人員' '營養師']
11486,['Microservices' 'Kubernetes/Docker' 'Bootstrap']
7281,[]
5388,['C++' 'Python' 'C#']
9629,['Instagram' 'facebook' 'word']
7615,['photoshop' 'illustrator' 'adobe after effects']
6937,['影音剪輯' '影音製作' '影音編輯']
11323,[]
9069,['台北市內湖區' 'React' 'JQuery']
6315,['Electronics Industry']
4291,['word' 'Windows Server' 'C/C++']
361,[]
7062,['文案撰寫' '線上課程' '影音課程']
4771,[]
5217,['DevOps' 'sre' 'software']
11493,['Android Development' 'Java' 'Application Development']
3796,[]
8366,['Google Drive']
8836,['ASP.NET' 'Visual Basic .net']
3764,[]
9334,['word' 'excel' 'powerpoint']
394,['電話行銷人員' '電話行銷' '內勤業務']
6825,['excel' 'powerpoint' 'word']
7779,['社工員' '社工師' '社會工作']
4957,['407台灣台中市西屯區' 'Stress Test' 'Bug tracking']
7318,['powerpoint' 'digitalmarketing' 'ecommerce']
5237,['CakeResume 2023 Career Fair']
9768,['Client Support' 'Customer Service' 'System Monitoring']
7038,['信義區' '台北市']
3849,['React.js' 'React' 'JavaScript']
3006,['Java EE' 'Spring Framework' 'Spring MVC']
7955,[]
4808,['AWS' 'Python' 'CI/CD']
3073,['C' 'C++' 'C#']
3774,['Linux' 'C' 'C++']
5718,['Microsoft Office' 'Word' 'Excel']
140,['Banking' 'Customer Service']
3756,['FW' 'Firmware' '韌體開發']
694,['photoshop' 'illustrator' 'CSS']
9313,['台北']
7237,['Microsoft Office']
7651,['word' 'excel' 'powerpoint']
8708,['C++' 'C#' 'Dart']
193,['powerpoint' 'excel' 'word']
2394,['C++' 'Verilog' 'FPGA']
5649,['Spring Boot' 'java']
7905,['Marketing' 'Technology' 'IT']
1179,['Premiere' 'Adobe Photoshop' 'Illustrator']
8109,[]
9765,['Windows Server 2012' 'MS SQL' 'VM']
4747,[]
7707,['word' 'PowerPoint' 'Excel']
3719,[]
930,[]
2604,['Redis' 'Golang' 'PostgreSQL']
8765,['HTML/CSS' 'Java' 'JavaScript']
4391,[]
4428,['JavaScript' 'Java' 'jQuery']
7087,[]
8277,['word' 'excel' 'powerpoint']
2174,['Unity3D' 'C#']
247,['服務' '賣場' '補貨']
801,['Illustrator' 'Photoshop' 'InDesign']
4805,['Airflow' 'ETL' 'Docker']
457,['美療' '美容工作者' '專櫃人員']
2799,[]
10014,['Content Marketing' 'instagram marketing' 'Facebook Marketing']
3000,[]
10093,['Python' 'Selenium' 'Mongo']
867,['Android' 'IOS' 'Windows']
