,job_tags
10026,['Excel' 'Outlook' 'PowerPoint']
4752,[]
4029,['Electronics Industry']
11524,['社群行銷' '數位行銷' '內容行銷']
631,['Photoshop' 'Illustrator' 'Blender']
7432,[]
5782,[]
7005,[]
1921,['Excel' 'Financial Reporting' 'Financial Analysis']
8419,[]
4149,['iOS' 'App']
2849,['hybrid work' 'Backend Engineer' 'Ruby on Rails']
7656,[]
11309,['Word' 'PowerPoint' 'Excel']
11171,[]
7407,['word' 'excel' 'powerpoint']
5622,[]
2706,['hybrid' 'Ruby on Rails']
8290,['保稅工廠保稅業務人員證照' '保稅倉庫與物流中心及免稅商店專責人員證照' '運輸']
10440,['台灣台北市大安區' '台灣台北' 'Account Manager']
1360,['Excel' 'PowerPoint' 'Microsoft Office']
5475,['Java' 'Architect' 'Software Engineer']
5398,['Linux' 'Shell' 'C']
3360,['大同區' '台北車站附近' '中山站']
4039,[]
5099,[]
3525,[]
10277,[]
10957,['Social Media Marketing' 'Content Creation' 'content creation']
6689,[]
6824,[]
11399,['React.js' 'Front End' 'React']
3034,['Java' 'Spring Framework' 'Spring MVC']
5387,['C#' 'Python' 'Java']
4174,['iOS' 'BC' 'Sports Lottery']
5996,['Other Job Types' '南港區' '松山火車站']
4146,[]
3703,['Digital IC' 'Design Verification' 'AI']
5320,['Linux' 'Android' 'C']
1749,['Cadence Allegro']
11167,[]
202,['CakeResume 2023 Career Fair']
5837,[]
4487,['Machine Learning' 'Startups' 'Research and Development']
10121,[]
11173,[]
6167,['word' 'microsoft office' 'excel']
9093,[]
2149,['自動化測試' '手動測試' 'Bug Tracking']
4796,['產品管理' '產品經理' 'QNap NAS']
4352,['研發' '測試' '製造']
5696,['PHP' 'MySQL']
10049,['IPXS' 'fintech' 'ai']
8351,['普通小型車']
10761,[]
8284,['業務開發' '軟體業務']
3407,['ETL']
7901,[]
10948,[]
5909,['CakeResume 2023 Career Fair']
1613,['Excel' 'Word']
11085,['Full Stack Development' 'System Analysis' 'Programming']
929,['Sketch' 'Zeplin' 'photoshop']
8450,[]
8888,['Front-End Development' 'Extension Development' 'Blockchain']
295,[]
7384,['Python' 'powerpoint' 'excel']
1159,[]
1968,[]
4869,['Git']
7849,['seller central' 'amazon' 'ecommerce']
2909,['.net' '.net mvc' '.net framework']
1560,['CREO 3.0']
11310,[]
3451,['Oracle' 'MSSQL' 'DBA']
5088,['Angular' 'CSS' 'JavaScript']
7194,[]
4882,['excel' 'word' 'Python']
3372,[]
9012,[]
9522,['遠端工作' 'English' 'Content Writing']
2463,[]
